case_id,source_group,case_path,canonical_case_id,canonical_case_path,is_canonical,raw_sha256,label_sha256,pair_sha256
B003_MEDDEPTH_013,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_013,B003_MEDDEPTH_013,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_013,True,e8c1818b9131667188c8e6db59fe9b3f120241622e253310ac619cb430bc771a,ec6875a9fe0885f72f5250afdc1746ee0e05b8ee7402aa32e1e40d94c7558159,e8c1818b9131667188c8e6db59fe9b3f120241622e253310ac619cb430bc771a:ec6875a9fe0885f72f5250afdc1746ee0e05b8ee7402aa32e1e40d94c7558159
B003_MEDDEPTH_014,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_014,B003_MEDDEPTH_014,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_014,True,82719e1886c5ca324136edb8a25867c19ec09f7392a5c48167417a37b55af728,95c11a8b7bd00682e270902732c47efb1c202b11f4a3b39d18982dfc7a6ad2df,82719e1886c5ca324136edb8a25867c19ec09f7392a5c48167417a37b55af728:95c11a8b7bd00682e270902732c47efb1c202b11f4a3b39d18982dfc7a6ad2df
B003_MEDDEPTH_015,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_015,B003_MEDDEPTH_015,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_015,True,c5f0e924a580e8f642944ee0eff39f277feec0798ff254882918db45b54c2bc9,a3d5a81c28fa7e1997c18da67ba9a41fda25a05f13300d23b98eb7f44bd5be03,c5f0e924a580e8f642944ee0eff39f277feec0798ff254882918db45b54c2bc9:a3d5a81c28fa7e1997c18da67ba9a41fda25a05f13300d23b98eb7f44bd5be03
B003_MEDDEPTH_016,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_016,B003_MEDDEPTH_016,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_016,True,141488f3fc9a696146cbb3182d9d005547689e88e983e523ff2271d178be863b,b4b39e4ea8b93dcd0893f4b2b4a9f4623545342dc2ad22b89553b7ffaff62898,141488f3fc9a696146cbb3182d9d005547689e88e983e523ff2271d178be863b:b4b39e4ea8b93dcd0893f4b2b4a9f4623545342dc2ad22b89553b7ffaff62898
B003_MEDDEPTH_017,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_017,B003_MEDDEPTH_017,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_017,True,355399fd4bf168c7295f987dfffb00ce132b2572402e6bb2d26d3d921c442fdc,be489b798042359e7b747fe7a4261541fdff3d18caa2b87af8c809c90f25807c,355399fd4bf168c7295f987dfffb00ce132b2572402e6bb2d26d3d921c442fdc:be489b798042359e7b747fe7a4261541fdff3d18caa2b87af8c809c90f25807c
B003_MEDDEPTH_018,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_018,B003_MEDDEPTH_018,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_018,True,4a0651a76887845ad79dd17ac1d4bb24a9f559bea303b803ccf8ae35663a6109,50804f5b1674d97c699c6435ca6c71a3c12364ff20e85b42a33531b7caa982ef,4a0651a76887845ad79dd17ac1d4bb24a9f559bea303b803ccf8ae35663a6109:50804f5b1674d97c699c6435ca6c71a3c12364ff20e85b42a33531b7caa982ef
B003_MEDDEPTH_019,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_019,B003_MEDDEPTH_019,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_019,True,039b6d07bbfc63019a5ceb4aeddb2f2ec90464dfbd1a83c6b1f0d0049d90be7d,394c951b87c75f36e4b01d9336d280bedbe2b54704fa13f871a638d981586d0e,039b6d07bbfc63019a5ceb4aeddb2f2ec90464dfbd1a83c6b1f0d0049d90be7d:394c951b87c75f36e4b01d9336d280bedbe2b54704fa13f871a638d981586d0e
B003_MEDDEPTH_020,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_020,B003_MEDDEPTH_020,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_020,True,40038be717b297c957c9d8d6e4aaa29cdcc85dd42f62a5023629d86d26c98f9c,bc9e394b0916c79d981a257306a15d19ac7e711f4f06848534cdbb3e8cf75e61,40038be717b297c957c9d8d6e4aaa29cdcc85dd42f62a5023629d86d26c98f9c:bc9e394b0916c79d981a257306a15d19ac7e711f4f06848534cdbb3e8cf75e61
B003_SHALLOW_DISTRACTOR_001,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_001,B003_SHALLOW_DISTRACTOR_001,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_001,True,d97331c2486bed71953524712e7f908bd081546d5e3d54c7c1b96437910e2b89,4eb216a3f1655b68647cdb783a5012ef3fc8342db37e7b6cb800063208b515c9,d97331c2486bed71953524712e7f908bd081546d5e3d54c7c1b96437910e2b89:4eb216a3f1655b68647cdb783a5012ef3fc8342db37e7b6cb800063208b515c9
B003_SHALLOW_DISTRACTOR_002,batch3,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_002,B003_SHALLOW_DISTRACTOR_002,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_002,True,9ab146324459ff4eb1f4f6e5da8af4c3c29e2a7d95882a51b6494ef481a2a166,5d405259fc3b4c62fb23a4d62a403d8b80a19e53502589d1e5c5c3b742a9d787,9ab146324459ff4eb1f4f6e5da8af4c3c29e2a7d95882a51b6494ef481a2a166:5d405259fc3b4c62fb23a4d62a403d8b80a19e53502589d1e5c5c3b742a9d787
