case_id,label,auditor,date,method,note,source_sha256
B003_MEDDEPTH_013,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.531; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,e8c1818b9131667188c8e6db59fe9b3f120241622e253310ac619cb430bc771a
B003_MEDDEPTH_014,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.484; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,82719e1886c5ca324136edb8a25867c19ec09f7392a5c48167417a37b55af728
B003_MEDDEPTH_015,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,c5f0e924a580e8f642944ee0eff39f277feec0798ff254882918db45b54c2bc9
B003_MEDDEPTH_016,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.461; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,141488f3fc9a696146cbb3182d9d005547689e88e983e523ff2271d178be863b
B003_MEDDEPTH_017,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,355399fd4bf168c7295f987dfffb00ce132b2572402e6bb2d26d3d921c442fdc
B003_MEDDEPTH_018,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,4a0651a76887845ad79dd17ac1d4bb24a9f559bea303b803ccf8ae35663a6109
B003_MEDDEPTH_019,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.492; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,039b6d07bbfc63019a5ceb4aeddb2f2ec90464dfbd1a83c6b1f0d0049d90be7d
B003_MEDDEPTH_020,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.414; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,40038be717b297c957c9d8d6e4aaa29cdcc85dd42f62a5023629d86d26c98f9c
B003_SHALLOW_DISTRACTOR_001,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,d97331c2486bed71953524712e7f908bd081546d5e3d54c7c1b96437910e2b89
B003_SHALLOW_DISTRACTOR_002,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,9ab146324459ff4eb1f4f6e5da8af4c3c29e2a7d95882a51b6494ef481a2a166
B003_SHALLOW_DISTRACTOR_003,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,853be3c05e3153499e9af126a9f697611d1df01d51d0ef1e871589f747deb35a
B003_SHALLOW_DISTRACTOR_004,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,2afa075c4b588f8124161435586f330e535e644c981792c9d28d32f62e9750dc
B003_SHALLOW_DISTRACTOR_005,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,f5a8b2db1890ee832fc7a3067fa63c26251c86709dc66cdba6f947e798a1bc94
B003_SHALLOW_DISTRACTOR_006,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.812; requires geometry review; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,8284d39ecffd4b243b975cca0850de681d65d77be8ed887588a7ce58c1741205
B003_SHALLOW_DISTRACTOR_007,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.836; requires geometry review; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,369857e5fa8ab81140d1592c6275835cf814e04af74d7da21ce16dd7998338d1
B003_SHALLOW_DISTRACTOR_008,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.406; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,06bf281e923807566c12da421d80ad853fba6b6dbe3325ac18c332b21a250d44
B003_SHALLOW_DISTRACTOR_009,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Support below 0.4; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,f0069f535dfc352894e9f2a0306135fd0dcc0db86c7f0bced71dba82b9314ecf
B003_SHALLOW_DISTRACTOR_010,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak ratio below 0.3 and support 0.180; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,657a4eb7de9e4178c284c649966914c81b034188a0411b2662dc158ef57c89e6
B003_SHALLOW_DISTRACTOR_011,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak support 0.672; requires geometry review; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,281366cae56055b25533eef4c7d13f171a4a46ac4e1a037b5b200a92f6872f85
B003_SHALLOW_DISTRACTOR_012,inconclusive,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Peak ratio below 0.3 and support 0.203; Line9-conditioned data are quarantined from formal Line9 holdout training; case-local scene/design provenance is incomplete,43b984d65271ae6614e4a05b8016b44767d2ae3f37daf5c7091a5537d5e45c27
CTRL01_FLAT_SHALLOW_LOWLOSS_POS,diagnostic_reference_only,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,Flat low-loss reference is visually idealised and dominated by endpoint artifacts.,bf0551dba26de47a435da8b63cba57a088b830170cc6b39e6cdcfd49ee8ccdd6
CTRL02_FLAT_DEEP_MODERATE_POS,diagnostic_reference_only,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Flat deep reference is useful for timing regression, not morphology training.",4671b79598a301442f5d7a5fdde656fdaeef148bf0893528b082fa3a6ffa86c4
CTRL03_SMOOTH_INTERFACE_POS,development_positive_candidate,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Clean matched contrast, but the interface is too smooth and old per-trace provenance is incomplete.",43e67d6b9349bbcb36792291510a70630524f1c3012813608ca4d48de60e2127
CTRL04_MATCHED_BACKGROUND_NEG,development_true_negative_candidate,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,The scene is explicitly basal-free and its zero mask is validated; old metadata remains untrusted.,d4df89e37094096323b8356b57f0b5fc3a79c10c8cf4574af907c3f0fbfa474c
CTRL05_GENTLE_TERRAIN_WEAK_LAYER_POS,development_positive_candidate,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Clean weak-layer response, but morphology and acquisition remain idealised.",7f7bd5cc0eac1c69346158d97ae6cb81451936f659e3f41312fd5f4b3db2b574
CTRL06_LATERAL_VARIATION_POS,artifact_diagnostic_only,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,A strong crossing artifact intersects the target and can confound positive supervision.,78994952c7011fc405eb34339375a0299522d53d3478a610caab0fa400eb7094
LINE9_STYLE_001,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,efd457c1c938b7ad8e0a52e53fe5d18770d3c57fca4c27e8915a40b66cb779cf
LINE9_STYLE_002,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,54c2a70e72d41c5769811a205e09122ecf99cdb54cdca80fee1b3ae2cd7cfd88
LINE9_STYLE_003,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,be1799e5ee1749c0ab90de64e0aa6d44f5eb2b5e62da21c06b7f01a717ff1fed
LINE9_STYLE_004,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,aeb6c2e0186bf48be33d6d6248f81e0f9009ac39dfbbfd5b29ec47ce3f7c6f7b
LINE9_STYLE_005,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,1fef1f45e7c79466ddefa85befbb304b331de5688050546cd6c1a6a0c4a87281
LINE9_STYLE_006,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,151d92d4bdddcce25d8c35207bc15f19d8b87c410309396d83e2f3cb90df08ed
LINE9_STYLE_007,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,a4a4befb48467644d196a21c799be7f9e614da40af62aff97c089bad6458817d
LINE9_STYLE_008,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,ff076be33ea00f9d8f4d54ffe4be57a53a8f79a2a831d8ee3e1a2e3178bed87b
LINE9_STYLE_009,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,a93e8048b3885986362ebd15e8801764d8a67008506440eda1b4a9cb4fbc11dd
LINE9_STYLE_010,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,7e57d8d1cb26b0447a136a493d21244df1e2be229329d2ebb352756b7f3a120e
LINE9_STYLE_V1_001,unreviewed,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,No authoritative case-wise human decision is recorded; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,e7f5e1f28c5764d536e1402ccdd7461440ea0d2c454f5a88c734cdf7249bee07
LINE9_TERRAIN_011,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,8648865864d777f1ae3b20212e6d8d9703934d12461883bfcf56821de55a2b2c
LINE9_TERRAIN_012,inconclusive/GREEN accepted,audit_session_20260710,2026-07-10,repository_audit_plus_visual_preview,Same raw and labels exist in accepted; exclude from Line9 holdout training; Line9-conditioned data are quarantined from formal Line9 holdout training; historical accepted metadata are marked untrusted pending provenance rebuild,9001b672c29ed6f8796e3e97b557a85e83b141e4f4b292f474d2d537ddfb5dd4
