config,run_type_before,run_type_after,train_after,val_after,test_after,review_after,paper_eligible,config_status
gpu_finetune_stage3_gprmambasep.json,development,holdout_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,blocked
gpu_mixed_v2_1_curvegassist_line9holdout_12g.json,holdout_eval,holdout_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_1_curvegassist_line9holdout_6g.json,holdout_eval,holdout_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_1_gprmambasep_lite_line9holdout.json,holdout_eval,holdout_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_1_gprmambasep_lite_line9holdout_reviewval.json,holdout_eval,holdout_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_gprmambasep.json,development,exploratory,Line3|Line6|Line9|LineL1,Line7,,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line3_seed1901.json,lolo_eval,lolo_eval,Line7|Line9|LineL1,Line6,Line3,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line3_seed1902.json,lolo_eval,lolo_eval,Line7|Line9|LineL1,Line6,Line3,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line3_seed1903.json,lolo_eval,lolo_eval,Line7|Line9|LineL1,Line6,Line3,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line6_seed1901.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line7,Line6,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line6_seed1902.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line7,Line6,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line6_seed1903.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line7,Line6,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line7_seed1901.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line6,Line7,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line7_seed1902.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line6,Line7,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line7_seed1903.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line6,Line7,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line9_seed1901.json,lolo_eval,lolo_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line9_seed1902.json,lolo_eval,lolo_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_Line9_seed1903.json,lolo_eval,lolo_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_LineL1_seed1901.json,lolo_eval,lolo_eval,Line3|Line6|Line9,Line7,LineL1,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_LineL1_seed1902.json,lolo_eval,lolo_eval,Line3|Line6|Line9,Line7,LineL1,LineX1,False,development
gpu_mixed_v2_gprmambasep_loo_LineL1_seed1903.json,lolo_eval,lolo_eval,Line3|Line6|Line9,Line7,LineL1,LineX1,False,development
gpu_pretrain_v2_1_gprmambasep_lite.json,pretrain_sim_only,pretrain_sim_only,batch_anomaly|batch_cross|batch_gentle|batch_gentle2|batch_terrace|batch_wire|bx|case_000001|case_000002|case_000003|case_000004|case_000005|case_000006|line|lm|sim_l1|sim_line3|sim_line9|sim_zk09|sm,,,LineX1,,development
gpu_pretrain_v2_1_gprmambasep_lite_smoke.json,debug,debug,batch_anomaly|batch_cross|batch_gentle|batch_gentle2|batch_terrace|batch_wire|bx|case_000001|case_000002|case_000003|case_000004|case_000005|case_000006|line|lm|sim_l1|sim_line3|sim_line9|sim_zk09|sm,,,LineX1,,development
gpu_pretrain_v2_1_gprmambasep_lite_tiny_smoke.json,debug,debug,batch_anomaly|batch_cross|batch_gentle|batch_gentle2|batch_terrace|batch_wire|bx|case_000001|case_000002|case_000003|case_000004|case_000005|case_000006|line|lm|sim_l1|sim_line3|sim_line9|sim_zk09|sm,,,LineX1,,development
gpu_pretrain_v2_gprmambasep.json,pretrain_sim_only,pretrain_sim_only,batch_anomaly|batch_cross|batch_gentle|batch_gentle2|batch_terrace|batch_wire|bx|case_000001|case_000002|case_000003|case_000004|case_000005|case_000006|line|lm|sim_l1|sim_line3|sim_line9|sim_zk09|sm,,,LineX1,,development
gpu_train_v1_16_batch192_mixed.json,development,exploratory,Line3|Line6|LineL1|Line9,Line7,,LineX1,False,development
gpu_train_v2_pilot_mixed.json,development,exploratory,Line3|Line6|LineL1|Line9,Line7,,LineX1,False,development
gpu_train_v3_pilot_mixed.json,development,exploratory,Line3|Line6|LineL1|Line9,Line7,,LineX1,False,development
gpu_train_v4_pilot_mixed.json,development,exploratory,Line3|Line6|LineL1|Line9,Line7,,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line3_seed1901.json,lolo_eval,lolo_eval,Line7|Line9|LineL1,Line6,Line3,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line3_seed1902.json,lolo_eval,lolo_eval,Line7|Line9|LineL1,Line6,Line3,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line3_seed1903.json,lolo_eval,lolo_eval,Line7|Line9|LineL1,Line6,Line3,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line6_seed1901.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line7,Line6,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line6_seed1902.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line7,Line6,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line6_seed1903.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line7,Line6,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line7_seed1901.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line6,Line7,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line7_seed1902.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line6,Line7,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line7_seed1903.json,lolo_eval,lolo_eval,Line3|Line9|LineL1,Line6,Line7,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line9_seed1901.json,lolo_eval,lolo_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line9_seed1902.json,lolo_eval,lolo_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_Line9_seed1903.json,lolo_eval,lolo_eval,Line3|Line6|LineL1,Line7,Line9,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_LineL1_seed1901.json,lolo_eval,lolo_eval,Line3|Line6|Line9,Line7,LineL1,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_LineL1_seed1902.json,lolo_eval,lolo_eval,Line3|Line6|Line9,Line7,LineL1,LineX1,False,development
gpu_train_v4_pilot_mixed_loo_LineL1_seed1903.json,lolo_eval,lolo_eval,Line3|Line6|Line9,Line7,LineL1,LineX1,False,development
paper_splits_v1_6.json,,exploratory,,,,,False,development
